,Dist Name,January,February,March,April,May,June,July,August,September,October,November,December,Unnamed: 0,STATE/UT,DISTRICT,avg kharif,avg rabi,summer avg,whole year avg
30,AMRELI,22.715,26.79,30.745,35.54,35.665000000000006,34.230000000000004,29.855803988120492,30.15,30.29,29.985,27.049999999999997,23.43,471,GUJARAT,AMRELI,108.72,6.557142857142858,27.4,47.275
31,BANASKANTHA,21.884999999999998,25.74,29.375,36.075,38.67,35.394999999999996,32.3,31.675,32.97,29.77,26.5,21.99,454,GUJARAT,BANASKANTHA,116.04,4.457142857142857,17.6,49.866666666666674
32,BHARUCH,24.235,27.18,30.85,34.47,35.03,35.09,29.92,29.66,32.02,31.295,27.43,26.314999999999998,456,GUJARAT,BHARUCH,161.82,4.828571428571428,35.300000000000004,68.74166666666666
33,BHAVNAGAR,22.785,27.8,28.628835383962663,35.725,35.04,32.76,31.645000000000003,29.589999999999996,30.520000000000003,31.6,25.697847667950363,24.75,472,GUJARAT,BHAVNAGAR,111.98000000000002,5.385714285714286,29.925,48.19166666666667
34,VALSAD,26.5,28.445,31.425,32.81,32.32,31.055,29.68,30.4,30.515,29.16,28.9,24.83,457,GUJARAT,VALSAD,399.86,9.157142857142857,89.325,168.475
35,DANGS,23.849999999999998,25.28,29.155,33.715,35.695,30.284999999999997,29.195,28.18,27.235,27.549999999999997,25.85,25.28,458,GUJARAT,DANGS,405.54,12.685714285714289,68.97500000000001,171.9166666666667
36,JAMNAGAR,21.72726924712888,26.705000000000002,29.94,33.245,32.945,35.47,31.075000000000003,31.685000000000002,31.525,29.5,28.0,24.0,473,GUJARAT,JAMNAGAR,95.84,4.871428571428572,23.4,41.49999999999999
37,JUNAGADH,24.045,25.455,31.395,33.37050485847064,34.115,32.845,31.74,29.63,29.549999999999997,30.005,29.5,25.055,474,GUJARAT,JUNAGADH,162.95999999999998,5.999999999999999,47.95,69.2
38,KHEDA,20.417269247128882,26.529999999999998,28.705,35.61,36.269999999999996,34.114999999999995,32.595,29.78,31.09,30.490000000000002,28.474999999999998,24.075,459,GUJARAT,KHEDA,165.92000000000002,4.857142857142856,29.125,70.84166666666667
39,KUTCH,22.009999999999998,25.665000000000003,28.59,34.955,34.935,35.83,33.595,31.72,31.32,30.755000000000003,27.1,22.085,475,GUJARAT,KUTCH,74.76,3.5285714285714285,12.45,32.4
40,MEHSANA,22.119999999999997,26.53,28.240000000000002,34.285,37.19,35.33,32.93,31.884999999999998,30.605,29.869999999999997,28.155,22.255000000000003,460,GUJARAT,MEHSANA,134.82,4.471428571428572,20.4,57.725
41,RAJKOT,22.509999999999998,26.685000000000002,30.854999999999997,33.675,37.4,33.805,33.004999999999995,30.950000000000003,30.92,29.055,26.27784766795036,22.255,476,GUJARAT,RAJKOT,112.6,5.157142857142857,25.2,48.25833333333333
42,SABARKANTHA,23.405,26.145000000000003,29.57,34.885000000000005,36.935,36.58,32.86,31.995,30.801692307692306,29.22,27.145,23.025000000000002,462,GUJARAT,SABARKANTHA,159.44,4.728571428571429,24.325,68.02499999999999
43,SURAT,24.700000000000003,22.947757000217848,30.765,33.089999999999996,35.16,32.45,32.455,30.141219667943805,29.940000000000005,30.585,28.165,24.041538955479453,463,GUJARAT,SURAT,257.06000000000006,6.528571428571429,57.45,108.72500000000002
44,SURENDRANAGAR,22.50372758326217,26.515,31.435000000000002,34.2,35.411871544023825,35.2,30.84080398812049,30.295,30.69,31.66,28.9,24.615000000000002,477,GUJARAT,SURENDRANAGAR,103.46,4.3,26.2,44.54999999999999
45,GURGAON,15.434999999999999,18.825,25.380000000000003,33.88,33.495,36.495000000000005,32.570803988120495,32.94,31.45,29.245,23.32,17.125,286,HARYANA,GURGAON,97.0,8.257142857142858,16.325,45.333333333333336
46,JIND,15.585,20.805431914893617,22.97,32.29,34.045,33.041780351780346,33.69,33.515,30.115,26.634999999999998,22.455,16.47,288,HARYANA,JIND,86.28,11.22857142857143,18.35,42.425
47,AMBALA,15.965,19.145,22.810000000000002,31.545,33.506871544023824,34.97,32.095803988120494,32.135000000000005,31.11,26.335,21.405,16.955000000000002,285,HARYANA,AMBALA,190.2,23.942857142857143,39.675,92.05833333333334
48,KARNAL,15.669999999999998,18.615000000000002,25.06383538396266,33.510000000000005,35.910000000000004,34.36,33.595,31.325000000000003,30.465,28.225,21.025,16.82,289,HARYANA,KARNAL,120.64,17.75714285714286,25.425,59.53333333333334
49,ROHTAK,16.05,21.535,25.479999999999997,31.730000000000004,35.885000000000005,35.950824105621805,34.44,33.125,33.28,28.214999999999996,22.785,17.34,291,HARYANA,ROHTAK,104.28,12.885714285714286,24.075,51.49999999999999
50,CHAMBA,0.18500000000000005,-0.17500000000000027,2.3600000000000003,13.389999999999999,16.02,25.971780351780346,23.447079796264855,18.0,15.864999999999998,10.595,6.915000000000001,0.32499999999999996,337,HIMACHAL,CHAMBA,291.02,76.75714285714287,89.325,166.425
51,KANGRA,9.415000000000001,11.96,16.36,22.6,26.39,28.04,26.545,26.7,23.125,21.455,20.60123296422487,10.77,338,HIMACHAL,KANGRA,326.04,56.08571428571429,78.875,168.3166666666667
52,KINNAUR,4.6922692471288805,-11.465,-8.344999999999999,1.81,7.119999999999999,10.315000000000001,11.875,21.40860331632653,9.255,3.885,-2.965,-8.355,339,HIMACHAL,KINNAUR,59.92,71.82857142857142,74.45000000000002,69.69999999999999
53,KULLU,8.06872758326217,0.3299999999999996,1.9649999999999999,10.745000000000001,11.165,17.685000000000002,22.96580398812049,16.689999999999998,15.02,9.77,5.319999999999999,-1.27,340,HIMACHAL,KULLU,110.34,70.9,92.29999999999998,90.675
54,LAHUL & SPITI,-17.405,-14.985,-12.725000000000001,-3.3899999999999997,2.245,6.82,9.09,8.69,5.635,-0.8000000000000003,-7.235,-12.435,341,HIMACHAL,LAHUL & SPITI,102.08,99.84285714285714,107.4,104.06666666666666
55,SOLAN,13.92,16.740000000000002,19.655,28.61,28.68,31.700000000000003,29.994999999999997,28.025,27.810000000000002,23.845,19.674999999999997,19.40894804088586,346,HIMACHAL,SOLAN,208.84,45.32857142857142,67.4,113.84999999999998
56,MANDI,12.670000000000002,14.185,17.240000000000002,26.060000000000002,27.13,29.905824105621804,25.72,24.935000000000002,24.93,20.985,17.215,14.165,342,HIMACHAL,MANDI,225.56000000000003,49.885714285714286,88.6,125.57500000000005
